Класс,Специализация,Роль,Всего эффектов,Физические бафы,Кастерские бафы,Утилити-бафы,Физические дебафы,Магические дебафы,Утилити-дебафы,Итоговые бафы,Итоговые дебафы,Новых эффектов,Балл,Что закроет,Источник
Barbarian,Ancestry,Саппорт,7,3,0,3,0,1,0,Strength; Agility; Attack Power; Concentration; Armor; Heroism | Bloodlust,Resistance Reduction,7,16,#NAME?,https://coa-raid-comp.ascension.gg/
Barbarian,Brutality,Мили-DPS,8,4,0,1,3,0,0,Strength; Agility; Attack Power; Concentration; 5% Attack Power,4% Physical Damage; 30% Bleed Damage; Armor Reduction,8,17,#NAME?,https://coa-raid-comp.ascension.gg/
Barbarian,Headhunting,Рейндж/кастер,8,4,0,2,1,0,1,Strength; Agility; Attack Power; Concentration; 3% Critical Strike (all); 5% Attack Power,30% Bleed Damage; Healing Reduction,8,15,#NAME?,https://coa-raid-comp.ascension.gg/
Witch Doctor,Shadowhunting,Рейндж/кастер,10,2,4,2,0,1,1,Small Resistances (all); Intellect; Spirit; Mana Regeneration; 5% Resource Reduction; 10% Melee & Range Haste; 3% Spell Haste; 5% Attack Power,Cast Speed Slow; Resistance Reduction,10,21,#NAME?,https://coa-raid-comp.ascension.gg/
Witch Doctor,Voodoo,Рейндж/кастер,10,0,4,3,0,1,2,Small Resistances (all); Intellect; Spirit; Mana Regeneration; 5% Resource Reduction; 3% Spell Haste; 3% Damage Done (all),Cast Speed Slow; Attack Speed Slow; Resistance Reduction,10,21,#NAME?,https://coa-raid-comp.ascension.gg/
Witch Doctor,Brewing,Хилер,10,0,5,2,0,1,2,Small Resistances (all); Intellect; Spirit; Mana Regeneration; 5% Resource Reduction; 3% Spell Haste; Replenishment,Cast Speed Slow; Attack Power Reduction; Resistance Reduction,10,21,#NAME?,https://coa-raid-comp.ascension.gg/
Felsworn,Infernal,Рейндж/кастер,8,2,0,3,0,2,1,Minor Armor and All Stats; Attack Power; Fire Resistance; Shadow Resistance; 3% Critical Strike (all),Damage Done Reduction (5%); 3% Spell Hit; 10% Spell Damage,8,18,#NAME?,https://coa-raid-comp.ascension.gg/
Felsworn,Tyrant,Танк,11,3,0,4,1,0,3,Minor Armor and All Stats; Attack Power; Fire Resistance; Shadow Resistance; 10% Melee & Range Haste; 3% Damage Done (all); Defensive Cooldown (Raid-Wide),4% Physical Damage; Attack Power Reduction; Attack Speed Slow; Damage Done Reduction (5%),11,27,#NAME?,https://coa-raid-comp.ascension.gg/
Felsworn,Slaying,Мили-DPS,10,3,0,3,1,0,3,Minor Armor and All Stats; Attack Power; Fire Resistance; Shadow Resistance; 10% Melee & Range Haste; Armor,Healing Reduction; Cast Speed Slow; Armor Reduction; Damage Done Reduction (5%),10,20,#NAME?,https://coa-raid-comp.ascension.gg/
Witch Hunter,Inquisition,Мили-DPS,7,3,1,1,0,0,2,Minor Armor and All Stats; Attack Power; Mana Regeneration; Shadow Resistance; 10% Melee & Range Haste,Cast Speed Slow; Damage Done Reduction (5%),7,14,#NAME?,https://coa-raid-comp.ascension.gg/
Witch Hunter,Houndmaster,Рейндж/кастер,7,3,2,1,0,0,1,Minor Armor and All Stats; Attack Power; Mana Regeneration; Shadow Resistance; 3% Spell Haste; 5% Attack Power,Cast Speed Slow,7,14,#NAME?,https://coa-raid-comp.ascension.gg/
Witch Hunter,Black Knight,Танк,8,2,2,2,0,0,2,Minor Armor and All Stats; Attack Power; Mana Regeneration; Shadow Resistance; Replenishment; Defensive Cooldown (Raid-Wide),Cast Speed Slow; Attack Speed Slow,8,17,#NAME?,https://coa-raid-comp.ascension.gg/
Witch Hunter,Boltslinger,Рейндж/кастер,8,2,1,2,1,0,2,Minor Armor and All Stats; Attack Power; Mana Regeneration; Shadow Resistance; 3% Critical Strike (all),Healing Reduction; Cast Speed Slow; Armor Reduction,8,15,#NAME?,https://coa-raid-comp.ascension.gg/
Stormbringer,Maelstrom,Рейндж/кастер,8,0,2,4,0,1,1,Small Resistances (all); Intellect; Mana Regeneration; Concentration; Nature Resistance; 3% Damage Done (all),10% Spell Damage; Attack Speed Slow,8,16,#NAME?,https://coa-raid-comp.ascension.gg/
Stormbringer,Lightning,Рейндж/кастер,7,0,2,4,0,1,0,Small Resistances (all); Intellect; Mana Regeneration; Concentration; Nature Resistance; 3% Critical Strike (all),3% Spell Critical Strike Chance,7,13,#NAME?,https://coa-raid-comp.ascension.gg/
Stormbringer,Wind,Саппорт,7,0,2,5,0,0,0,Small Resistances (all); Intellect; Mana Regeneration; Concentration; Nature Resistance; Armor; Heroism | Bloodlust,—,7,13,#NAME?,https://coa-raid-comp.ascension.gg/
Cultist,Heretic,Хилер,7,1,3,3,0,0,0,10% Stats; Intellect; Spirit; Dampen Magic; Shadow Resistance; 3% Damage Reduction (all); Replenishment,—,7,15,#NAME?,https://coa-raid-comp.ascension.gg/
Cultist,Dreadnought,Танк,8,1,2,2,0,0,3,10% Stats; Intellect; Spirit; Dampen Magic; Shadow Resistance,Attack Speed Slow; 3% Hit Reduction; Attack Power Reduction,8,16,#NAME?,https://coa-raid-comp.ascension.gg/
Cultist,Corruption,Рейндж/кастер,9,1,4,2,0,1,1,10% Stats; Intellect; Spirit; Dampen Magic; Shadow Resistance; Spell Power; 3% Spell Haste,3% Spell Hit; 3% Hit Reduction,9,18,#NAME?,https://coa-raid-comp.ascension.gg/
Cultist,Godblade,Мили-DPS,8,1,2,2,0,1,2,10% Stats; Intellect; Spirit; Dampen Magic; Shadow Resistance,Healing Reduction; 10% Spell Damage; Attack Power Reduction,8,16,#NAME?,https://coa-raid-comp.ascension.gg/
Knight of Xoroth,Hellfire,Мили-DPS,12,3,1,6,0,1,1,Stamina; Strength; Intellect; 5% Resource Reduction; Fire Resistance; Frost Resistance; Shadow Resistance; Arcane Resistance; 5% Attack Power; 3% Damage Done (all),3% Spell Critical Strike Chance; Cast Speed Slow,12,21,#NAME?,https://coa-raid-comp.ascension.gg/
Knight of Xoroth,War,Мили-DPS,12,2,1,6,2,0,1,Stamina; Strength; Intellect; 5% Resource Reduction; Fire Resistance; Frost Resistance; Shadow Resistance; Arcane Resistance; 3% Critical Strike (all),4% Physical Damage; Healing Reduction; Armor Reduction,12,21,#NAME?,https://coa-raid-comp.ascension.gg/
Knight of Xoroth,Defiance,Танк,12,2,1,5,1,1,2,Stamina; Strength; Intellect; 5% Resource Reduction; Fire Resistance; Frost Resistance; Shadow Resistance; Arcane Resistance,Attack Power Reduction; Attack Speed Slow; 10% Spell Damage; Armor Reduction,12,23,#NAME?,https://coa-raid-comp.ascension.gg/
Guardian,Vanguard,Танк,6,1,0,2,1,0,2,Strength; Nature Resistance; 3% Damage Reduction (all),Attack Speed Slow; Armor Reduction; Attack Power Reduction,6,15,#NAME?,https://coa-raid-comp.ascension.gg/
Guardian,Gladiator,Мили-DPS,6,2,0,1,2,0,1,Strength; Nature Resistance; 5% Attack Power,4% Physical Damage; Healing Reduction; Armor Reduction,6,13,#NAME?,https://coa-raid-comp.ascension.gg/
Guardian,Inspiration,Саппорт,6,1,0,3,1,1,0,Strength; Nature Resistance; Armor; Heroism | Bloodlust,Resistance Reduction; Armor Reduction,6,15,#NAME?,https://coa-raid-comp.ascension.gg/
Starcaller,Moon Priest,Хилер,5,0,2,2,0,1,0,Intellect; Strong Mana Cooldown; Arcane Resistance; 3% Critical Strike (all),Resistance Reduction,5,10,#NAME?,https://coa-raid-comp.ascension.gg/
Starcaller,Warden,Мили-DPS,6,0,2,2,0,1,1,Intellect; Strong Mana Cooldown; Arcane Resistance; 3% Critical Strike (all),Resistance Reduction; Healing Reduction,6,11,#NAME?,https://coa-raid-comp.ascension.gg/
Starcaller,Sentinel,Рейндж/кастер,6,1,2,1,0,2,0,Intellect; Strong Mana Cooldown; Arcane Resistance; 10% Melee & Range Haste,Resistance Reduction; 10% Spell Damage,6,13,#NAME?,https://coa-raid-comp.ascension.gg/
Starcaller,Moon Guard,Танк,8,0,2,2,0,2,2,Intellect; Strong Mana Cooldown; Arcane Resistance; 3% Damage Reduction (all),Resistance Reduction; 10% Spell Damage; Attack Speed Slow; 3% Hit Reduction,8,17,#NAME?,https://coa-raid-comp.ascension.gg/
Sun Cleric,Blessings,Хилер,7,2,3,1,0,1,0,10% Stats; Attack Power; Spell Power; Mana Regeneration; 5% Resource Reduction; 3% Spell Haste,Resistance Reduction,7,16,#NAME?,https://coa-raid-comp.ascension.gg/
Sun Cleric,Valkyrie,Мили-DPS,8,2,2,2,0,1,1,10% Stats; Attack Power; Spell Power; Mana Regeneration; 5% Resource Reduction; 3% Damage Done (all),Resistance Reduction; Attack Speed Slow,8,19,#NAME?,https://coa-raid-comp.ascension.gg/
Sun Cleric,Piety,Рейндж/кастер,9,2,3,1,0,2,1,10% Stats; Attack Power; Spell Power; Mana Regeneration; 5% Resource Reduction; Replenishment,Resistance Reduction; 3% Spell Hit; 3% Hit Reduction,9,20,#NAME?,https://coa-raid-comp.ascension.gg/
Sun Cleric,Seraphim,Танк,10,2,2,3,0,0,3,10% Stats; Attack Power; Spell Power; Mana Regeneration; 5% Resource Reduction; 6% Healing Done; Defensive Cooldown (Raid-Wide),Attack Speed Slow; 3% Hit Reduction; Damage Done Reduction (5%),10,21,#NAME?,https://coa-raid-comp.ascension.gg/
Templar,Zealot,Мили-DPS,4,3,0,0,1,0,0,10% Stats; Agility; 10% Melee & Range Haste,Armor Reduction,4,11,#NAME?,https://coa-raid-comp.ascension.gg/
Templar,Crusader,Мили-DPS,4,2,0,1,0,0,1,10% Stats; Agility; 3% Damage Done (all),Attack Power Reduction,4,11,#NAME?,https://coa-raid-comp.ascension.gg/
Templar,Oathkeeper,Танк,7,3,0,2,0,0,2,10% Stats; Agility; 5% Attack Power; 6% Healing Done; Defensive Cooldown (Raid-Wide),Cast Speed Slow; 3% Hit Reduction,7,14,#NAME?,https://coa-raid-comp.ascension.gg/
Primalist,Wildwalker,Мили-DPS,9,3,1,3,2,0,0,Minor Armor and All Stats; Small Resistances (all); Agility; Spirit; Nature Resistance; Arcane Resistance; 5% Attack Power,4% Physical Damage; 30% Bleed Damage,9,16,#NAME?,https://coa-raid-comp.ascension.gg/
