Категория,Эффект,Уровень,Класс,Специализация,Роль,Фактическая аура,Spell ID,Возможностей,Встречено,Покрытие,Специфичность,Охват игроков,Босс-цель,Уверенность,Балл,Статус модели,Значение базы,Примечание
Физические бафы,Strength,Класс,Barbarian,Все специализации класса,Мили-DPS; Рейндж/кастер; Саппорт,Warband,560883,146,120,0.821917808219178,1,1,0,Высокая,0.9,На проверку,Flat Strength,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические бафы,Agility,Класс,Barbarian,Все специализации класса,Мили-DPS; Рейндж/кастер; Саппорт,Warband,560883,146,120,0.821917808219178,1,1,0,Высокая,0.9,На проверку,Flat Agility,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические бафы,Attack Power,Класс,Barbarian,Все специализации класса,Мили-DPS; Рейндж/кастер; Саппорт,Warband,560883,146,120,0.821917808219178,1,1,0,Высокая,0.9,На проверку,AP Flat (Shout),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Concentration,Класс,Barbarian,Все специализации класса,Мили-DPS; Рейндж/кастер; Саппорт,Warband,560883,146,120,0.821917808219178,1,1,0,Высокая,0.9,На проверку,Concentration (Berserker),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Armor,Спек,Barbarian,Ancestry,Саппорт,Frozen Blades,560821,43,41,0.9534883720930233,1,1,0,Высокая,0.9,На проверку,Armor (Devo),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Утилити-бафы,Heroism | Bloodlust,Спек,Barbarian,Ancestry,Саппорт,Frozen Blades,560821,43,41,0.9534883720930233,1,1,0,Высокая,0.9,На проверку,Heroism,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Магические дебафы,Resistance Reduction,Спек,Barbarian,Ancestry,Саппорт,Frostbite,2119752,43,39,0.9069767441860465,1,0,1,Высокая,0.9,На проверку,Resistance REDUCTION,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические бафы,5% Attack Power,Спек,Barbarian,Brutality,Мили-DPS,Warband,560883,101,89,0.8811881188118812,0.5771034334069962,1,0,Средняя,0.7942758583517491,На проверку,Attack Power %,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические дебафы,4% Physical Damage,Спек,Barbarian,Brutality,Мили-DPS,Wounded,570739,101,72,0.7128712871287128,0.9970095693779905,0,0.9166666666666666,Высокая,0.8579405111563787,На проверку,Phys Dmg Taken (4%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические дебафы,30% Bleed Damage,Спек,Barbarian,Brutality,Мили-DPS,Wounded,570739,101,72,0.7128712871287128,0.9970095693779905,0,0.9166666666666666,Высокая,0.8579405111563787,На проверку,Bleed Dmg Taken (30%),Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
Физические дебафы,Armor Reduction,Спек,Barbarian,Brutality,Мили-DPS,Wounded,570739,101,72,0.7128712871287128,0.9970095693779905,0,0.9166666666666666,Высокая,0.8579405111563787,На проверку,% Armor Debuff,Одна фактическая аура может закрывать несколько концептуальных эффектов; статистическая связь не доказывает механику.
