Класс,Специализация,Тип,Аура A,ID A,Покрытие A,Аура B,ID B,Покрытие B,Совместных боёв,Совместимость,Боев со спеком,Статус наблюдения,Решение модели,Предупреждение
Barbarian,Ancestry,DEBUFF,Hodir's Revenge,560125,0.3488372093023256,To The Bone,803513,0.27906976744186046,1,0.08333333333333333,43,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Bloodmage,Fleshweaver,BUFF,Arterial Bind,681082,0.4107142857142857,Blood Veil,572279,0.33035714285714285,6,0.16216216216216217,112,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Bloodmage,Fleshweaver,BUFF,Arterial Bind,681082,0.4107142857142857,Heartbreak,807563,0.29464285714285715,6,0.18181818181818182,112,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Chronomancer,Infinite,DEBUFF,Magic Erosion,570060,0.5789473684210527,Destabilize Time,680971,0.13157894736842105,0,0,38,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Chronomancer,Time,BUFF,The Vast Infinite,706083,0.4107142857142857,Rippling Resilience,560396,0.19642857142857142,1,0.09090909090909091,56,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Chronomancer,Time,BUFF,Resilience,560373,0.3392857142857143,Overcorrection,561231,0.17857142857142858,1,0.1,56,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Chronomancer,Time,BUFF,Rippling Resilience,560396,0.19642857142857142,Overcorrection,561231,0.17857142857142858,1,0.1,56,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Cultist,Dreadnought,DEBUFF,Horrifying Presence,500723,0.5806451612903226,Eldritch Force,680576,0.25806451612903225,1,0.125,31,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Felsworn,Infernal,DEBUFF,Bane of Fire,707901,0.860655737704918,Curse of Argus,707511,0.13934426229508196,3,0.17647058823529413,122,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
Felsworn,Infernal,DEBUFF,Sargeras Embrace,800355,0.2540983606557377,Bane of Chaos,706420,0.23770491803278687,4,0.13793103448275862,122,Возможная взаимоисключающая пара,На проверку,"Нулевая совместная встречаемость может быть вызвана разными билдами, редкостью или корреляцией логов; нужна механическая проверка."
