Класс,Специализация,Тип,Фактическая аура,Spell ID,Боев со спеком,Боев с аурой,Покрытие,Специфичность,Охват игроков,Босс-цель,Наблюдаемый тип,Событий от спека,Ранг
Barbarian,Ancestry,BUFF,Frozen Blades,560821,43,41,0.9534883720930233,1,1,0,raid_buff,245897,1
Barbarian,Ancestry,BUFF,Tavern Brawl!,804456,43,40,0.9302325581395349,1,1,0,raid_buff,2123,2
Barbarian,Ancestry,DEBUFF,Frostbite,2119752,43,39,0.9069767441860465,1,0,1,boss_debuff,1217,3
Barbarian,Ancestry,BUFF,Odyn's Guidance,800476,43,37,0.8604651162790697,1,0.7916666666666666,0,raid_buff,2746,4
Barbarian,Ancestry,BUFF,Uniting Voice,560946,43,31,0.7209302325581395,1,1,0,raid_buff,27479,5
Barbarian,Ancestry,BUFF,War Cry,500995,43,30,0.6976744186046512,1,0.91,0,raid_buff,1308,6
Barbarian,Ancestry,BUFF,Splash Zone,706404,43,28,0.6511627906976745,1,0.9583333333333334,0,raid_buff,13023,7
Barbarian,Ancestry,DEBUFF,Hodir's Revenge,560125,43,15,0.3488372093023256,1,0,1,boss_debuff,179,8
Barbarian,Ancestry,DEBUFF,To The Bone,803513,43,12,0.27906976744186046,1,0,1,boss_debuff,364,9
Barbarian,Ancestry,BUFF,Ramhorn Rage,805804,43,8,0.18604651162790697,1,0.6333333333333333,0,limited,2101,10
Barbarian,Brutality,DEBUFF,Smashed,706645,101,101,1,0.7307191433945883,0,1,boss_debuff,5050,1
Barbarian,Brutality,BUFF,Warband,560883,101,89,0.8811881188118812,0.5771034334069962,1,0,raid_buff,10707,2
Barbarian,Brutality,BUFF,Berserker Aura,560543,101,79,0.7821782178217822,0.5316666666666666,0.75,0,raid_buff,1276,3
Barbarian,Brutality,DEBUFF,Wounded,570739,101,72,0.7128712871287128,0.9970095693779905,0,0.9166666666666666,boss_debuff,1667,4
Barbarian,Brutality,DEBUFF,Storm of Steel,800637,101,56,0.5544554455445545,1,0,1,boss_debuff,701,5
Barbarian,Brutality,DEBUFF,Headbutt,520711,101,55,0.5445544554455446,0.6785714285714286,0,0.9636363636363636,boss_debuff,399,6
Barbarian,Brutality,DEBUFF,Headlopped,783054,101,43,0.42574257425742573,1,0,1,boss_debuff,1058,7
Barbarian,Headhunting,DEBUFF,Puncture Wound,804143,25,25,1,1,0,1,boss_debuff,1386,1
Barbarian,Headhunting,DEBUFF,Gutspiller,806887,25,24,0.96,1,0,1,boss_debuff,694,2
Barbarian,Headhunting,DEBUFF,Guts Splatter,561333,25,20,0.8,1,0,1,boss_debuff,706,3
