Класс,Специализация,Роль,Парсов,Игроков,Боев,Боссов,Надёжность,Медиана DPS,P75 DPS,P90 DPS,Медиана HPS,P75 HPS,Медиана DTPS,Смертность,Выживаемость,Сглаженная метрика,Предв. балл роли,Покрытие экипировки,Медиана ilvl
Tinker,Demolition,dps,85,23,80,6,0.8095238095238095,6110.091,7682.84,9071.7634,7.423,24.046,138.028,0.023529411764705882,1,5756.660160849723,5702.479829924078,0.18823529411764706,61.505
Ranger,Archery,dps,173,44,145,6,0.8963730569948186,5792.761,7391.158,8769.4336,3.978,13.354,97.705,0.09248554913294797,1,5633.363911343114,5424.962009420594,0.20809248554913296,62.35
Pyromancer,Incineration,dps,69,19,61,6,0.7752808988764045,5608.785,7630.608,9080.1018,18.499,60.972,117.758,0.10144927536231885,1,5304.469066171021,5089.215248993067,0.37681159420289856,61.71
Runemaster,Riftblade,dps,106,24,80,6,0.8412698412698413,5428.7285,8145.01,9242.9475,23.808,51.65575,240.617,0.14150943396226415,1,5242.35557848588,4945.618470269698,0.22641509433962265,61.47
Witch Doctor,Voodoo,dps,74,11,74,6,0.7872340425531915,6493.028,9371.632,10330.1129,13.9985,21.865000000000002,128.344,0.44594594594594594,1,6016.7622754172435,4943.501977640114,0.33783783783783783,65.53
Tinker,Mechanics,dps,80,21,75,6,0.8,5190.2925,6205.688,7502.643600000003,2.799,14.902249999999999,135.7625,0.0375,1,5003.149818892208,4928.102571608824,0.2375,59.22
Chronomancer,Artificer,dps,117,36,91,6,0.8540145985401459,5146.282,6417.946,8423.475600000002,7.601,24.81,96.379,0.10256410256410256,1,5016.106393351977,4810.317413111897,0.26495726495726496,59.39
Templar,Crusader,dps,236,60,169,6,0.921875,4676.612999999999,6892.11075,9339,71.22550000000001,134.52525,213.652,0.0635593220338983,1,4643.641601129768,4525.582916355282,0.24152542372881355,58
Witch Hunter,Inquisition,dps,147,37,118,6,0.8802395209580839,5098.851,6560.525,8029.127,51.006,108.3575,210.653,0.25170068027210885,1,4997.740592151023,4494.5667094038445,0.24489795918367346,61.115
Felsworn,Infernal,dps,165,49,122,6,0.8918918918918919,4916.581,6113.736,7780.0902,2.781,8.731,111.522,0.22424242424242424,1,4845.013226428221,4410.430221875871,0.22424242424242424,58.47
Starcaller,Sentinel,dps,91,30,76,6,0.8198198198198198,4710.604,5604.014999999999,6846.171,2.599,14.511500000000002,73.593,0.16483516483516483,1,4628.437350353342,4323.265656923451,0.2967032967032967,60.12
Sun Cleric,Piety,dps,78,27,65,6,0.7959183673469388,4540.841,5463.039,6462.7879,15.7925,33.629000000000005,126.4465,0.10256410256410256,1,4482.4202029512335,4298.5260407788755,0.2692307692307692,60.29
Stormbringer,Lightning,dps,93,31,86,6,0.8230088495575221,4427.266,5763.292,8419.872399999997,5.058,11.766,109.749,0.06451612903225806,1,4396.701945922308,4283.238669898507,0.3010752688172043,63.19
Venomancer,Rot,dps,76,30,68,6,0.7916666666666666,4520.4395,5325.55425,7242.050499999999,55.8215,101.0985,297.22249999999997,0.10526315789473684,1,4465.051915512718,4277.049729596392,0.14473684210526316,61.94
Witch Doctor,Shadowhunting,dps,105,36,89,6,0.84,4542.227,5425.996,6856.0712,36.702,56.356,94.419,0.14285714285714285,1,4496.203335113767,4239.277430250123,0.3142857142857143,60.59
Templar,Zealot,dps,48,18,43,6,0.7058823529411765,4541.806500000001,5425.0380000000005,7003.898700000002,29.64,68.21975,228.618,0.125,1,4457.327851312072,4234.461458746468,0.3125,59
Necromancer,Animation,dps,184,65,148,6,0.9019607843137255,4385.951999999999,5880.634,7854.0432,81.84049999999999,187.14375,196.791,0.08152173913043478,1,4373.0723033785325,4230.472119572711,0.2554347826086957,60.5
Bloodmage,Accursed,dps,14,5,14,6,0.4117647058823529,4164.241,5915.34375,11235.875600000001,56.2335,73.44525,192.17000000000002,0,1,4217.38105556532,4217.38105556532,0.21428571428571427,62.13
Cultist,Godblade,dps,230,62,174,6,0.92,4451.8505000000005,5735.645,6626.001,43.718500000000006,83.173,202.1055,0.14782608695652175,1,4436.068787556884,4173.762111423085,0.2565217391304348,60.88
Witch Hunter,Houndmaster,dps,20,8,20,6,0.5,4220.5225,4521.437,5226.7727,15.499500000000001,26.3245,168.3295,0.05,1,4237.550797230522,4152.799781285912,0.35,61.76
Reaper,Soul,dps,20,7,20,6,0.5,4394.558999999999,5253.09275,6227.726600000001,26.4565,69.34700000000001,219.534,0.15,1,4324.569047230521,4065.09490439669,0.2,53.305
Cultist,Corruption,dps,12,9,11,6,0.375,3715.746,4156.73275,4203.529,40.7155,72.67675,120.6555,0,1,4052.516684038152,4052.516684038152,0.25,62
Felsworn,Tyrant,dps,97,40,89,6,0.8290598290598291,4036.378,4989.035,6576.0722000000005,63.408,121.029,145.284,0.020618556701030927,1,4073.677332386503,4040.079993562697,0.29896907216494845,58.89
Chronomancer,Infinite,dps,41,12,38,6,0.6721311475409836,4130.84,4943.063,5219.623,1.191,15.711,107.58,0.0975609756097561,1,4171.41019490526,4008.623455591884,0.4146341463414634,62.88
Knight of Xoroth,Hellfire,dps,89,25,78,6,0.8165137614678899,4035.305,6613.59,10270.181600000004,32.115,56.784,244.234,0.056179775280898875,1,4075.5387788001913,3983.9536377035574,0.25842696629213485,61.75
Runemaster,Engravement,dps,154,45,117,6,0.8850574712643678,4053.331,4940.880499999999,5917.5871000000025,11.517,32.788,185.17399999999998,0.08441558441558442,1,4076.46296488058,3938.8161634690277,0.3246753246753247,60.195
Barbarian,Headhunting,dps,28,10,25,6,0.5833333333333334,3761.9415,4691.153499999999,5698.6069,25.4355,45.75725,115.083,0.03571428571428571,1,3967.207164358768,3910.5327762965,0.35714285714285715,62.94
Knight of Xoroth,War,dps,201,62,154,6,0.9095022624434389,3996.038,5335.103,7336.894,30.41,60.856,222.243,0.06965174129353234,1,4019.4353841141215,3907.4511147059666,0.24875621890547264,61
Barbarian,Brutality,dps,114,27,101,6,0.8507462686567164,4006.0415000000003,6421.01425,7130.535100000001,29.9115,253.8575,227.09449999999998,0.08771929824561403,1,4043.136663352395,3901.2722190242407,0.24561403508771928,60.44
Starcaller,Moon Guard,dps,5,3,5,3,0.2,2476.956,2484.903,3061.2546,0.657,2.225,122.975,0,1,3899.054475568835,3899.054475568835,0.6,60.56
Bloodmage,Eternal,dps,27,15,26,6,0.574468085106383,3641.238,4137.3105,4386.5292,197.947,276.05,339.449,0.037037037037037035,1,3902.234210408955,3844.423333217711,0.2962962962962963,60.144999999999996
Sun Cleric,Valkyrie,dps,321,82,196,6,0.9413489736070382,3911.8,4829.597,5880.867,49.876,87.691,200.303,0.06542056074766354,1,3931.9043457161906,3829.0133908750195,0.2398753894080997,60.95
Primalist,Wildwalker,dps,105,34,77,6,0.84,3866.021,4926.057,6110.4388,96.76,258.549,176.732,0.06666666666666667,1,3928.190295113767,3823.4385539107334,0.34285714285714286,58.925
Stormbringer,Maelstrom,dps,24,14,24,6,0.5454545454545454,3353.962,4072.7695,5013.2406,8.6655,56.79825,135.4475,0,1,3763.3334065732015,3763.3334065732015,0.16666666666666666,61.2
Venomancer,Stalking,dps,26,11,26,6,0.5652173913043478,3521.431,4377.053,5622.655,28.735,41.11275,199.31650000000002,0.07692307692307693,1,3840.1910410700193,3722.0313167294034,0.15384615384615385,61.49
