Категория UI,Отображаемое имя,Ключ эффекта,Уровень,Поле базы,Класс,Специализация,Роль,Исходное значение,Источник кода
Физические бафы,Strength,Flat Strength,Класс,classBuffs,Barbarian,Ancestry,Саппорт,Flat Strength,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Barbarian,Ancestry,Саппорт,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Barbarian,Ancestry,Саппорт,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Concentration,Concentration,Класс,classBuffs,Barbarian,Ancestry,Саппорт,Concentration (Berserker),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Armor,Armor (Devo),Спек,specBuffs,Barbarian,Ancestry,Саппорт,Armor (Devo),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Heroism | Bloodlust,Heroism,Спек,specBuffs,Barbarian,Ancestry,Саппорт,Heroism,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,Resistance Reduction,Resistance REDUCTION,Спек,specBuffs,Barbarian,Ancestry,Саппорт,Resistance REDUCTION,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Strength,Flat Strength,Класс,classBuffs,Barbarian,Brutality,Мили-DPS,Flat Strength,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Barbarian,Brutality,Мили-DPS,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Barbarian,Brutality,Мили-DPS,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Concentration,Concentration,Класс,classBuffs,Barbarian,Brutality,Мили-DPS,Concentration (Berserker),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,5% Attack Power,Attack Power %,Спек,specBuffs,Barbarian,Brutality,Мили-DPS,Attack Power %,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,4% Physical Damage,Phys Dmg Taken (4%),Спек,specDebuffs,Barbarian,Brutality,Мили-DPS,Phys Dmg Taken (4%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,30% Bleed Damage,Bleed Dmg Taken (30%),Спек,specDebuffs,Barbarian,Brutality,Мили-DPS,Bleed Dmg Taken (30%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,Armor Reduction,% Armor Debuff,Спек,specDebuffs,Barbarian,Brutality,Мили-DPS,% Armor Debuff,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Strength,Flat Strength,Класс,classBuffs,Barbarian,Headhunting,Рейндж/кастер,Flat Strength,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Barbarian,Headhunting,Рейндж/кастер,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Barbarian,Headhunting,Рейндж/кастер,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Concentration,Concentration,Класс,classBuffs,Barbarian,Headhunting,Рейндж/кастер,Concentration (Berserker),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Critical Strike (all),All Crit (3%),Спек,specBuffs,Barbarian,Headhunting,Рейндж/кастер,All Crit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,5% Attack Power,Attack Power %,Спек,specBuffs,Barbarian,Headhunting,Рейндж/кастер,Attack Power %,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,30% Bleed Damage,Bleed Dmg Taken (30%),Спек,specDebuffs,Barbarian,Headhunting,Рейндж/кастер,Bleed Dmg Taken (30%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Barbarian,Headhunting,Рейндж/кастер,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Small Resistances (all),Small All Resist,Класс,classBuffs,Witch Doctor,Shadowhunting,Рейндж/кастер,Small All Resist,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Witch Doctor,Shadowhunting,Рейндж/кастер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Witch Doctor,Shadowhunting,Рейндж/кастер,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Witch Doctor,Shadowhunting,Рейндж/кастер,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,5% Resource Reduction,Cost Reduction (5%),Класс,classBuffs,Witch Doctor,Shadowhunting,Рейндж/кастер,Cost Reduction (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Класс,classDebuffs,Witch Doctor,Shadowhunting,Рейндж/кастер,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Melee & Range Haste,Melee/Range Haste (10%),Спек,specBuffs,Witch Doctor,Shadowhunting,Рейндж/кастер,Melee/Range Haste (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,3% Spell Haste,Spell Haste (3%),Спек,specBuffs,Witch Doctor,Shadowhunting,Рейндж/кастер,Spell Haste (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,5% Attack Power,Attack Power %,Спек,specBuffs,Witch Doctor,Shadowhunting,Рейндж/кастер,Attack Power %,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,Resistance Reduction,Resistance REDUCTION,Спек,specDebuffs,Witch Doctor,Shadowhunting,Рейндж/кастер,Resistance REDUCTION,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Small Resistances (all),Small All Resist,Класс,classBuffs,Witch Doctor,Voodoo,Рейндж/кастер,Small All Resist,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Witch Doctor,Voodoo,Рейндж/кастер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Witch Doctor,Voodoo,Рейндж/кастер,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Witch Doctor,Voodoo,Рейндж/кастер,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,5% Resource Reduction,Cost Reduction (5%),Класс,classBuffs,Witch Doctor,Voodoo,Рейндж/кастер,Cost Reduction (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Класс,classDebuffs,Witch Doctor,Voodoo,Рейндж/кастер,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,3% Spell Haste,Spell Haste (3%),Спек,specBuffs,Witch Doctor,Voodoo,Рейндж/кастер,Spell Haste (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
